"ens_gene"	"target_id"	"pval"	"qval"	"num_transcripts"	"all_target_ids"
"148"	"ENSG00000129128"	"ENST00000503362"	0.980917682715528	0.99550607877328	4	"ENST00000503362"
"149"	"ENSG00000129353"	"ENST00000589561"	0.135158988845945	0.533988791997914	15	"ENST00000589561"
"150"	"ENSG00000130227"	"ENST00000433566"	0.0122033506508301	0.14004797651667	9	"ENST00000433566"
"151"	"ENSG00000130309"	"ENST00000252599"	0.619291298009338	0.892068160092404	6	"ENST00000252599"
"152"	"ENSG00000130429"	"ENST00000252725"	0.572483112655184	0.879330978495898	21	"ENST00000252725"
"153"	"ENSG00000130635"	"ENST00000618395"	0.920366636233233	0.993117095472403	8	"ENST00000618395"
"154"	"ENSG00000130723"	"ENST00000357304"	0.083851294153339	0.421003372728223	9	"ENST00000357304"
"155"	"ENSG00000130766"	"ENST00000253063"	0.899103327372983	0.993117095472403	1	"ENST00000253063"
"156"	"ENSG00000131747"	"ENST00000423485"	1.6570469945547e-05	0.000570497608125262	5	"ENST00000423485"
"157"	"ENSG00000132341"	"ENST00000392367"	0.137448859803466	0.534277019558633	12	"ENST00000392367"
"158"	"ENSG00000132475"	"ENST00000254810"	0.152272702164712	0.562343200038316	13	"ENST00000254810"
"159"	"ENSG00000132646"	"ENST00000379143"	0.556420380821812	0.879330978495898	2	"ENST00000379143"
"160"	"ENSG00000132718"	"ENST00000368324"	0.879884566314202	0.993117095472403	1	"ENST00000368324"
"161"	"ENSG00000132763"	"ENST00000401061"	0.0755288499885133	0.409043884207454	3	"ENST00000401061"
"162"	"ENSG00000133687"	"ENST00000256062"	0.0234610942796748	0.213363159298174	9	"ENST00000256062"
"163"	"ENSG00000133703"	"ENST00000311936"	0.16327655735958	0.575791669376691	4	"ENST00000311936"
"164"	"ENSG00000134243"	"ENST00000256637"	0.254741137493952	0.684026884949356	9	"ENST00000256637"
"165"	"ENSG00000134287"	"ENST00000256682"	0.964088612390387	0.99550607877328	10	"ENST00000256682"
